CustomerId,PurchaseDate,Product,Price
9,2022-09-12,Microwave oven,177
34,2022-09-12,Vacuum cleaner,717
73,2022-09-12,Phone,563$
86,2022-09-12,coffee machine,1442
104,2022-09-12,Vacuum cleaner,591$
127,2022-09-12,Vacuum cleaner,600
165,2022-09-12,Laptop,2468
198,2022-09-12,Vacuum cleaner,745
209,2022-09-12,Microwave oven,476
215,2022-09-12,coffee machine,4924
229,2022-09-12,Vacuum cleaner,98
258,2022-09-12,Microwave oven,536$
268,2022-09-12,Phone,782
274,2022-09-12,Vacuum cleaner,724
300,2022-09-12,Phone,1059
358,2022-09-12,coffee machine,2770
374,2022-09-12,coffee machine,3548
393,2022-09-12,Microwave oven,250
441,2022-09-12,Microwave oven,559
478,2022-09-12,Phone,766
533,2022-09-12,coffee machine,1461
560,2022-09-12,TV,835
571,2022-09-12,TV,2029
599,2022-09-12,Laptop,2356
627,2022-09-12,Laptop,3153$
631,2022-09-12,coffee machine,701
645,2022-09-12,Vacuum cleaner,429
683,2022-09-12,Vacuum cleaner,166
691,2022-09-12,Laptop,3418$
711,2022-09-12,Vacuum cleaner,561$
719,2022-09-12,Vacuum cleaner,531
734,2022-09-12,Phone,1330
745,2022-09-12,Laptop,2635
748,2022-09-12,coffee machine,3202$
763,2022-09-12,TV,868
770,2022-09-12,coffee machine,2854$
824,2022-09-12,Vacuum cleaner,549$
831,2022-09-12,Phone,282
875,2022-09-12,Laptop,1817
878,2022-09-12,Vacuum cleaner,249
879,2022-09-12,Vacuum cleaner,125
888,2022-09-12,Phone,670
892,2022-09-12,coffee machine,3887$
900,2022-09-12,Laptop,2310
918,2022-09-12,Vacuum cleaner,747
930,2022-09-12,coffee machine,832
936,2022-09-12,TV,809
987,2022-09-12,coffee machine,1066
992,2022-09-12,TV,871
1000,2022-09-12,Laptop,3038
1008,2022-09-12,coffee machine,4143
1011,2022-09-12,Vacuum cleaner,637
1049,2022-09-12,coffee machine,4897
1059,2022-09-12,coffee machine,4882
1105,2022-09-12,Microwave oven,474$
1127,2022-09-12,Microwave oven,190
1165,2022-09-12,coffee machine,4908
1175,2022-09-12,Laptop,3076$
1176,2022-09-12,Laptop,1187
1211,2022-09-12,coffee machine,4857
1260,2022-09-12,Vacuum cleaner,258
1277,2022-09-12,Microwave oven,262
1294,2022-09-12,Laptop,2123
1316,2022-09-12,Phone,345
1333,2022-09-12,coffee machine,2996$
1333,2022-09-12,Laptop,3411
1351,2022-09-12,TV,780
1371,2022-09-12,Microwave oven,487
1395,2022-09-12,TV,699
1399,2022-09-12,Laptop,1938
1423,2022-09-12,Microwave oven,279
1441,2022-09-12,Vacuum cleaner,775
1464,2022-09-12,Phone,478$
1465,2022-09-12,Microwave oven,513
1474,2022-09-12,Laptop,2389$
1490,2022-09-12,Phone,437
1513,2022-09-12,Microwave oven,422
1525,2022-09-12,Microwave oven,432
1538,2022-09-12,Laptop,2667$
1554,2022-09-12,Phone,726
1590,2022-09-12,Phone,732
1607,2022-09-12,Laptop,2714
1620,2022-09-12,Microwave oven,204
1645,2022-09-12,Laptop,3416
1646,2022-09-12,Phone,557
1691,2022-09-12,coffee machine,680
1697,2022-09-12,Microwave oven,450
1705,2022-09-12,Microwave oven,261
1738,2022-09-12,Vacuum cleaner,667
1773,2022-09-12,Vacuum cleaner,727
1773,2022-09-12,TV,2447
1817,2022-09-12,TV,1621
1837,2022-09-12,TV,1563$
1870,2022-09-12,Phone,538
1902,2022-09-12,Microwave oven,203
1911,2022-09-12,Laptop,801
1913,2022-09-12,Microwave oven,444
1924,2022-09-12,Microwave oven,593
1931,2022-09-12,Phone,292
1935,2022-09-12,TV,1059
1950,2022-09-12,Vacuum cleaner,129
1958,2022-09-12,TV,2212
1959,2022-09-12,coffee machine,1136
1979,2022-09-12,Vacuum cleaner,780
1979,2022-09-12,coffee machine,1634
1980,2022-09-12,Vacuum cleaner,493$
2029,2022-09-12,Laptop,3415
2081,2022-09-12,TV,1107$
2094,2022-09-12,Phone,760$
2118,2022-09-12,Phone,1432$
2127,2022-09-12,Laptop,1909
2211,2022-09-12,Phone,732
2234,2022-09-12,coffee machine,3040$
2245,2022-09-12,Phone,407
2250,2022-09-12,Vacuum cleaner,255
2261,2022-09-12,Phone,1360
2324,2022-09-12,Phone,1205
2344,2022-09-12,Phone,990
2389,2022-09-12,Microwave oven,499$
2398,2022-09-12,Microwave oven,451
2446,2022-09-12,coffee machine,3817
2563,2022-09-12,TV,2246
2576,2022-09-12,Microwave oven,382
2598,2022-09-12,Vacuum cleaner,273
2639,2022-09-12,Vacuum cleaner,156
2646,2022-09-12,Phone,1464
2660,2022-09-12,Laptop,1625
2693,2022-09-12,Vacuum cleaner,316
2719,2022-09-12,Laptop,1287
2721,2022-09-12,Laptop,2937
2760,2022-09-12,Laptop,3067
2775,2022-09-12,Vacuum cleaner,214
2792,2022-09-12,Phone,1334
2824,2022-09-12,coffee machine,4323
2832,2022-09-12,Phone,988
2833,2022-09-12,Vacuum cleaner,547$
2833,2022-09-12,coffee machine,3079
2845,2022-09-12,TV,1626
2890,2022-09-12,Vacuum cleaner,484
2916,2022-09-12,Phone,644
2917,2022-09-12,Laptop,2725
2990,2022-09-12,coffee machine,3211
2991,2022-09-12,Microwave oven,421
3021,2022-09-12,Phone,858
3042,2022-09-12,Vacuum cleaner,594
3163,2022-09-12,Vacuum cleaner,86
3247,2022-09-12,Microwave oven,580
3260,2022-09-12,Laptop,674
3261,2022-09-12,coffee machine,2300
3265,2022-09-12,Vacuum cleaner,442$
3280,2022-09-12,Microwave oven,591$
3332,2022-09-12,Laptop,3463
