actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2022-02-15 09:34:33.000000 +00:00
2,NICK,WAHLBERG,2022-02-15 09:34:33.000000 +00:00
3,ED,CHASE,2022-02-15 09:34:33.000000 +00:00
4,JENNIFER,DAVIS,2022-02-15 09:34:33.000000 +00:00
5,JOHNNY,LOLLOBRIGIDA,2022-02-15 09:34:33.000000 +00:00
6,BETTE,NICHOLSON,2022-02-15 09:34:33.000000 +00:00
7,GRACE,MOSTEL,2022-02-15 09:34:33.000000 +00:00
8,MATTHEW,JOHANSSON,2022-02-15 09:34:33.000000 +00:00
9,JOE,SWANK,2022-02-15 09:34:33.000000 +00:00
10,CHRISTIAN,GABLE,2022-02-15 09:34:33.000000 +00:00
11,ZERO,CAGE,2022-02-15 09:34:33.000000 +00:00
12,KARL,BERRY,2022-02-15 09:34:33.000000 +00:00
13,UMA,WOOD,2022-02-15 09:34:33.000000 +00:00
14,VIVIEN,BERGEN,2022-02-15 09:34:33.000000 +00:00
15,CUBA,OLIVIER,2022-02-15 09:34:33.000000 +00:00
16,FRED,COSTNER,2022-02-15 09:34:33.000000 +00:00
17,HELEN,VOIGHT,2022-02-15 09:34:33.000000 +00:00
18,DAN,TORN,2022-02-15 09:34:33.000000 +00:00
19,BOB,FAWCETT,2022-02-15 09:34:33.000000 +00:00
20,LUCILLE,TRACY,2022-02-15 09:34:33.000000 +00:00
21,KIRSTEN,PALTROW,2022-02-15 09:34:33.000000 +00:00
22,ELVIS,MARX,2022-02-15 09:34:33.000000 +00:00
23,SANDRA,KILMER,2022-02-15 09:34:33.000000 +00:00
24,CAMERON,STREEP,2022-02-15 09:34:33.000000 +00:00
25,KEVIN,BLOOM,2022-02-15 09:34:33.000000 +00:00
26,RIP,CRAWFORD,2022-02-15 09:34:33.000000 +00:00
27,JULIA,MCQUEEN,2022-02-15 09:34:33.000000 +00:00
28,WOODY,HOFFMAN,2022-02-15 09:34:33.000000 +00:00
29,ALEC,WAYNE,2022-02-15 09:34:33.000000 +00:00
30,SANDRA,PECK,2022-02-15 09:34:33.000000 +00:00
31,SISSY,SOBIESKI,2022-02-15 09:34:33.000000 +00:00
32,TIM,HACKMAN,2022-02-15 09:34:33.000000 +00:00
33,MILLA,PECK,2022-02-15 09:34:33.000000 +00:00
34,AUDREY,OLIVIER,2022-02-15 09:34:33.000000 +00:00
35,JUDY,DEAN,2022-02-15 09:34:33.000000 +00:00
36,BURT,DUKAKIS,2022-02-15 09:34:33.000000 +00:00
