country_id,country,last_update
1,Afghanistan,2022-02-15 09:44:00.000000 +00:00
2,Algeria,2022-02-15 09:44:00.000000 +00:00
3,American Samoa,2022-02-15 09:44:00.000000 +00:00
4,Angola,2022-02-15 09:44:00.000000 +00:00
5,Anguilla,2022-02-15 09:44:00.000000 +00:00
6,Argentina,2022-02-15 09:44:00.000000 +00:00
7,Armenia,2022-02-15 09:44:00.000000 +00:00
8,Australia,2022-02-15 09:44:00.000000 +00:00
9,Austria,2022-02-15 09:44:00.000000 +00:00
10,Azerbaijan,2022-02-15 09:44:00.000000 +00:00
11,Bahrain,2022-02-15 09:44:00.000000 +00:00
12,Bangladesh,2022-02-15 09:44:00.000000 +00:00
13,Belarus,2022-02-15 09:44:00.000000 +00:00
14,Bolivia,2022-02-15 09:44:00.000000 +00:00
15,Brazil,2022-02-15 09:44:00.000000 +00:00
16,Brunei,2022-02-15 09:44:00.000000 +00:00
17,Bulgaria,2022-02-15 09:44:00.000000 +00:00
18,Cambodia,2022-02-15 09:44:00.000000 +00:00
19,Cameroon,2022-02-15 09:44:00.000000 +00:00
20,Canada,2022-02-15 09:44:00.000000 +00:00
21,Chad,2022-02-15 09:44:00.000000 +00:00
22,Chile,2022-02-15 09:44:00.000000 +00:00
23,China,2022-02-15 09:44:00.000000 +00:00
24,Colombia,2022-02-15 09:44:00.000000 +00:00
25,"Congo, The Democratic Republic of the",2022-02-15 09:44:00.000000 +00:00
26,Czech Republic,2022-02-15 09:44:00.000000 +00:00
27,Dominican Republic,2022-02-15 09:44:00.000000 +00:00
28,Ecuador,2022-02-15 09:44:00.000000 +00:00
29,Egypt,2022-02-15 09:44:00.000000 +00:00
30,Estonia,2022-02-15 09:44:00.000000 +00:00
31,Ethiopia,2022-02-15 09:44:00.000000 +00:00
32,Faroe Islands,2022-02-15 09:44:00.000000 +00:00
33,Finland,2022-02-15 09:44:00.000000 +00:00
34,France,2022-02-15 09:44:00.000000 +00:00
35,French Guiana,2022-02-15 09:44:00.000000 +00:00
