actor_id,film_id,last_update
1,1,2022-02-15 10:05:03.000000 +00:00
1,23,2022-02-15 10:05:03.000000 +00:00
1,25,2022-02-15 10:05:03.000000 +00:00
1,106,2022-02-15 10:05:03.000000 +00:00
1,140,2022-02-15 10:05:03.000000 +00:00
1,166,2022-02-15 10:05:03.000000 +00:00
1,277,2022-02-15 10:05:03.000000 +00:00
1,361,2022-02-15 10:05:03.000000 +00:00
1,438,2022-02-15 10:05:03.000000 +00:00
1,499,2022-02-15 10:05:03.000000 +00:00
1,506,2022-02-15 10:05:03.000000 +00:00
1,509,2022-02-15 10:05:03.000000 +00:00
1,605,2022-02-15 10:05:03.000000 +00:00
1,635,2022-02-15 10:05:03.000000 +00:00
1,749,2022-02-15 10:05:03.000000 +00:00
1,832,2022-02-15 10:05:03.000000 +00:00
1,939,2022-02-15 10:05:03.000000 +00:00
1,970,2022-02-15 10:05:03.000000 +00:00
1,980,2022-02-15 10:05:03.000000 +00:00
2,3,2022-02-15 10:05:03.000000 +00:00
2,31,2022-02-15 10:05:03.000000 +00:00
2,47,2022-02-15 10:05:03.000000 +00:00
2,105,2022-02-15 10:05:03.000000 +00:00
2,132,2022-02-15 10:05:03.000000 +00:00
2,145,2022-02-15 10:05:03.000000 +00:00
2,226,2022-02-15 10:05:03.000000 +00:00
2,249,2022-02-15 10:05:03.000000 +00:00
2,314,2022-02-15 10:05:03.000000 +00:00
2,321,2022-02-15 10:05:03.000000 +00:00
2,357,2022-02-15 10:05:03.000000 +00:00
2,369,2022-02-15 10:05:03.000000 +00:00
2,399,2022-02-15 10:05:03.000000 +00:00
2,458,2022-02-15 10:05:03.000000 +00:00
2,481,2022-02-15 10:05:03.000000 +00:00
2,485,2022-02-15 10:05:03.000000 +00:00
2,518,2022-02-15 10:05:03.000000 +00:00
2,540,2022-02-15 10:05:03.000000 +00:00
2,550,2022-02-15 10:05:03.000000 +00:00
2,555,2022-02-15 10:05:03.000000 +00:00
2,561,2022-02-15 10:05:03.000000 +00:00
2,742,2022-02-15 10:05:03.000000 +00:00
2,754,2022-02-15 10:05:03.000000 +00:00
2,811,2022-02-15 10:05:03.000000 +00:00
2,958,2022-02-15 10:05:03.000000 +00:00
3,17,2022-02-15 10:05:03.000000 +00:00
3,40,2022-02-15 10:05:03.000000 +00:00
3,42,2022-02-15 10:05:03.000000 +00:00
3,87,2022-02-15 10:05:03.000000 +00:00
3,111,2022-02-15 10:05:03.000000 +00:00
3,185,2022-02-15 10:05:03.000000 +00:00
3,289,2022-02-15 10:05:03.000000 +00:00
3,329,2022-02-15 10:05:03.000000 +00:00
3,336,2022-02-15 10:05:03.000000 +00:00
3,341,2022-02-15 10:05:03.000000 +00:00
3,393,2022-02-15 10:05:03.000000 +00:00
3,441,2022-02-15 10:05:03.000000 +00:00
3,453,2022-02-15 10:05:03.000000 +00:00
3,480,2022-02-15 10:05:03.000000 +00:00
3,539,2022-02-15 10:05:03.000000 +00:00
3,618,2022-02-15 10:05:03.000000 +00:00
3,685,2022-02-15 10:05:03.000000 +00:00
3,827,2022-02-15 10:05:03.000000 +00:00
3,966,2022-02-15 10:05:03.000000 +00:00
3,967,2022-02-15 10:05:03.000000 +00:00
3,971,2022-02-15 10:05:03.000000 +00:00
3,996,2022-02-15 10:05:03.000000 +00:00
4,23,2022-02-15 10:05:03.000000 +00:00
4,25,2022-02-15 10:05:03.000000 +00:00
4,56,2022-02-15 10:05:03.000000 +00:00
4,62,2022-02-15 10:05:03.000000 +00:00
4,79,2022-02-15 10:05:03.000000 +00:00
4,87,2022-02-15 10:05:03.000000 +00:00
4,355,2022-02-15 10:05:03.000000 +00:00
4,379,2022-02-15 10:05:03.000000 +00:00
4,398,2022-02-15 10:05:03.000000 +00:00
4,463,2022-02-15 10:05:03.000000 +00:00
4,490,2022-02-15 10:05:03.000000 +00:00
4,616,2022-02-15 10:05:03.000000 +00:00
4,635,2022-02-15 10:05:03.000000 +00:00
4,691,2022-02-15 10:05:03.000000 +00:00
4,712,2022-02-15 10:05:03.000000 +00:00
4,714,2022-02-15 10:05:03.000000 +00:00
4,721,2022-02-15 10:05:03.000000 +00:00
4,798,2022-02-15 10:05:03.000000 +00:00
4,832,2022-02-15 10:05:03.000000 +00:00
4,858,2022-02-15 10:05:03.000000 +00:00
4,909,2022-02-15 10:05:03.000000 +00:00
4,924,2022-02-15 10:05:03.000000 +00:00
5,19,2022-02-15 10:05:03.000000 +00:00
5,54,2022-02-15 10:05:03.000000 +00:00
5,85,2022-02-15 10:05:03.000000 +00:00
5,146,2022-02-15 10:05:03.000000 +00:00
5,171,2022-02-15 10:05:03.000000 +00:00
5,172,2022-02-15 10:05:03.000000 +00:00
5,202,2022-02-15 10:05:03.000000 +00:00
5,203,2022-02-15 10:05:03.000000 +00:00
5,286,2022-02-15 10:05:03.000000 +00:00
5,288,2022-02-15 10:05:03.000000 +00:00
5,316,2022-02-15 10:05:03.000000 +00:00
5,340,2022-02-15 10:05:03.000000 +00:00
5,369,2022-02-15 10:05:03.000000 +00:00
5,375,2022-02-15 10:05:03.000000 +00:00
5,383,2022-02-15 10:05:03.000000 +00:00
5,392,2022-02-15 10:05:03.000000 +00:00
5,411,2022-02-15 10:05:03.000000 +00:00
5,503,2022-02-15 10:05:03.000000 +00:00
5,535,2022-02-15 10:05:03.000000 +00:00
5,571,2022-02-15 10:05:03.000000 +00:00
5,650,2022-02-15 10:05:03.000000 +00:00
5,665,2022-02-15 10:05:03.000000 +00:00
5,687,2022-02-15 10:05:03.000000 +00:00
5,730,2022-02-15 10:05:03.000000 +00:00
5,732,2022-02-15 10:05:03.000000 +00:00
5,811,2022-02-15 10:05:03.000000 +00:00
5,817,2022-02-15 10:05:03.000000 +00:00
5,841,2022-02-15 10:05:03.000000 +00:00
5,865,2022-02-15 10:05:03.000000 +00:00
6,29,2022-02-15 10:05:03.000000 +00:00
6,53,2022-02-15 10:05:03.000000 +00:00
6,60,2022-02-15 10:05:03.000000 +00:00
6,70,2022-02-15 10:05:03.000000 +00:00
6,112,2022-02-15 10:05:03.000000 +00:00
6,164,2022-02-15 10:05:03.000000 +00:00
6,165,2022-02-15 10:05:03.000000 +00:00
6,193,2022-02-15 10:05:03.000000 +00:00
6,256,2022-02-15 10:05:03.000000 +00:00
6,451,2022-02-15 10:05:03.000000 +00:00
6,503,2022-02-15 10:05:03.000000 +00:00
6,509,2022-02-15 10:05:03.000000 +00:00
6,517,2022-02-15 10:05:03.000000 +00:00
6,519,2022-02-15 10:05:03.000000 +00:00
6,605,2022-02-15 10:05:03.000000 +00:00
6,692,2022-02-15 10:05:03.000000 +00:00
6,826,2022-02-15 10:05:03.000000 +00:00
6,892,2022-02-15 10:05:03.000000 +00:00
6,902,2022-02-15 10:05:03.000000 +00:00
6,994,2022-02-15 10:05:03.000000 +00:00
7,25,2022-02-15 10:05:03.000000 +00:00
7,27,2022-02-15 10:05:03.000000 +00:00
7,35,2022-02-15 10:05:03.000000 +00:00
7,67,2022-02-15 10:05:03.000000 +00:00
7,96,2022-02-15 10:05:03.000000 +00:00
7,170,2022-02-15 10:05:03.000000 +00:00
7,173,2022-02-15 10:05:03.000000 +00:00
7,217,2022-02-15 10:05:03.000000 +00:00
7,218,2022-02-15 10:05:03.000000 +00:00
7,225,2022-02-15 10:05:03.000000 +00:00
7,292,2022-02-15 10:05:03.000000 +00:00
7,351,2022-02-15 10:05:03.000000 +00:00
7,414,2022-02-15 10:05:03.000000 +00:00
7,463,2022-02-15 10:05:03.000000 +00:00
7,554,2022-02-15 10:05:03.000000 +00:00
7,618,2022-02-15 10:05:03.000000 +00:00
7,633,2022-02-15 10:05:03.000000 +00:00
7,637,2022-02-15 10:05:03.000000 +00:00
7,691,2022-02-15 10:05:03.000000 +00:00
7,758,2022-02-15 10:05:03.000000 +00:00
7,766,2022-02-15 10:05:03.000000 +00:00
7,770,2022-02-15 10:05:03.000000 +00:00
7,805,2022-02-15 10:05:03.000000 +00:00
7,806,2022-02-15 10:05:03.000000 +00:00
7,846,2022-02-15 10:05:03.000000 +00:00
7,900,2022-02-15 10:05:03.000000 +00:00
7,901,2022-02-15 10:05:03.000000 +00:00
7,910,2022-02-15 10:05:03.000000 +00:00
7,957,2022-02-15 10:05:03.000000 +00:00
7,959,2022-02-15 10:05:03.000000 +00:00
8,47,2022-02-15 10:05:03.000000 +00:00
8,115,2022-02-15 10:05:03.000000 +00:00
8,158,2022-02-15 10:05:03.000000 +00:00
8,179,2022-02-15 10:05:03.000000 +00:00
8,195,2022-02-15 10:05:03.000000 +00:00
8,205,2022-02-15 10:05:03.000000 +00:00
8,255,2022-02-15 10:05:03.000000 +00:00
8,263,2022-02-15 10:05:03.000000 +00:00
8,321,2022-02-15 10:05:03.000000 +00:00
8,396,2022-02-15 10:05:03.000000 +00:00
8,458,2022-02-15 10:05:03.000000 +00:00
8,523,2022-02-15 10:05:03.000000 +00:00
