payment_id,customer_id,staff_id,rental_id,amount,payment_date
16051,269,1,98,0.99,2022-01-29 01:58:52.222594 +00:00
16065,274,1,147,2.99,2022-01-25 12:14:16.895377 +00:00
16109,297,2,143,0.99,2022-01-28 00:49:49.128218 +00:00
16195,344,2,157,2.99,2022-01-31 05:58:51.176578 +00:00
16202,348,2,821,0.99,2022-01-26 16:52:41.359433 +00:00
16216,357,2,945,0.99,2022-01-24 00:39:09.052005 +00:00
16237,369,1,31,4.99,2022-01-31 00:12:16.422091 +00:00
16247,372,1,617,2.99,2022-01-29 12:51:46.565326 +00:00
16249,373,2,257,4.99,2022-01-29 05:33:33.142744 +00:00
16259,379,2,209,4.99,2022-01-30 23:02:06.818362 +00:00
16295,397,2,1002,0.99,2022-01-28 13:25:14.841952 +00:00
16318,409,1,310,6.99,2022-01-25 01:57:07.766857 +00:00
16320,411,2,972,1.99,2022-01-31 11:12:57.610606 +00:00
16331,416,2,724,3.99,2022-01-24 04:59:03.204053 +00:00
16336,419,1,62,2.99,2022-01-29 09:48:28.376954 +00:00
16354,432,2,326,7.99,2022-01-28 01:42:25.075477 +00:00
16365,437,1,192,2.99,2022-01-24 17:03:14.157666 +00:00
16367,437,1,666,5.99,2022-01-29 22:26:14.302644 +00:00
16405,457,2,1024,7.99,2022-01-25 04:27:19.820601 +00:00
16416,464,2,373,1.99,2022-01-26 23:25:52.226731 +00:00
16420,468,2,101,6.99,2022-01-28 20:21:03.857629 +00:00
16463,489,2,513,2.99,2022-01-28 04:47:04.957501 +00:00
16518,515,2,187,8.99,2022-01-29 08:03:30.047386 +00:00
16536,528,2,472,0.99,2022-01-26 03:43:15.130965 +00:00
16571,546,1,197,5.99,2022-01-26 04:40:52.164582 +00:00
16580,549,2,852,4.99,2022-01-31 17:59:37.587453 +00:00
16635,582,1,281,0.99,2022-01-26 06:24:18.457849 +00:00
16654,594,1,1045,6.99,2022-01-30 04:32:24.000007 +00:00
16665,203,1,314,0.99,2022-01-28 00:22:36.913361 +00:00
16681,3,1,830,2.99,2022-01-23 17:24:52.109704 +00:00
16684,5,1,1142,1.99,2022-01-27 10:15:27.766413 +00:00
16706,16,1,335,3.99,2022-01-23 20:35:04.736603 +00:00
16721,19,2,696,2.99,2022-01-24 04:55:04.465099 +00:00
16725,21,1,260,3.99,2022-01-23 19:39:48.158080 +00:00
16726,21,2,463,3.99,2022-01-27 23:12:57.558291 +00:00
16804,58,1,230,0.99,2022-01-28 04:32:46.647228 +00:00
16810,60,1,318,4.99,2022-01-29 01:46:18.217762 +00:00
16817,64,1,587,0.99,2022-01-29 04:52:32.288355 +00:00
16825,69,2,765,1.99,2022-01-29 04:38:06.311495 +00:00
16840,77,1,419,1.99,2022-01-29 06:27:31.455384 +00:00
16850,83,2,222,0.99,2022-01-31 22:15:03.268858 +00:00
16851,83,2,950,0.99,2022-01-31 20:32:34.114471 +00:00
16861,88,2,36,2.99,2022-01-24 02:45:54.820069 +00:00
16966,146,2,762,7.99,2022-01-25 11:58:02.018740 +00:00
16980,154,2,865,7.99,2022-01-27 04:34:41.615317 +00:00
17021,174,1,41,5.99,2022-01-26 18:33:16.330945 +00:00
17025,176,1,553,3.99,2022-01-29 14:58:04.749257 +00:00
17091,217,2,828,2.99,2022-01-26 06:36:40.672488 +00:00
17095,220,1,480,3.99,2022-01-26 23:02:27.359434 +00:00
17102,223,2,524,2.99,2022-01-23 15:28:46.388149 +00:00
17135,241,1,627,7.99,2022-01-29 17:46:57.785609 +00:00
17201,266,1,86,1.99,2022-01-28 18:58:02.018945 +00:00
17270,284,1,1171,0.99,2022-01-25 01:27:54.217882 +00:00
17274,285,2,1302,3.99,2022-01-29 06:02:18.549386 +00:00
17276,286,1,1690,8.99,2022-01-28 16:14:04.070713 +00:00
17291,290,2,1496,4.99,2022-01-25 01:07:53.953561 +00:00
17298,292,2,2258,3.99,2022-01-29 19:21:55.755158 +00:00
17303,293,2,1860,4.99,2022-01-27 23:10:40.988978 +00:00
17311,295,1,1328,2.99,2022-01-23 18:20:08.440348 +00:00
17313,295,1,2054,2.99,2022-01-23 13:43:42.505434 +00:00
17315,295,1,2638,1.99,2022-01-29 22:23:14.790339 +00:00
17347,303,1,3107,2.99,2022-01-30 01:50:21.310571 +00:00
17351,304,2,2902,4.99,2022-01-24 22:49:48.948734 +00:00
17403,318,2,3376,7.99,2022-01-29 10:47:43.644651 +00:00
17421,322,1,2983,7.99,2022-01-25 19:07:24.992406 +00:00
17423,322,2,3413,8.99,2022-01-28 05:07:02.442022 +00:00
17454,329,2,3053,0.99,2022-01-31 07:03:12.949200 +00:00
17464,333,1,1667,2.99,2022-01-30 08:25:30.189577 +00:00
17489,339,2,1432,3.99,2022-01-24 15:07:12.873890 +00:00
17490,339,1,1536,4.99,2022-01-26 05:32:55.013930 +00:00
17495,340,1,1697,3.99,2022-01-31 11:10:25.800622 +00:00
17508,341,1,3382,5.99,2022-01-30 12:39:17.919738 +00:00
17579,360,2,1492,0.99,2022-01-26 14:24:50.296376 +00:00
17608,366,2,2214,0.99,2022-01-26 01:43:22.116339 +00:00
17615,368,2,3275,4.99,2022-01-26 10:19:47.778411 +00:00
17684,385,1,3105,0.99,2022-01-29 22:01:24.157019 +00:00
17685,386,2,1585,3.99,2022-01-26 15:38:44.367328 +00:00
17717,392,2,2890,4.99,2022-01-31 00:41:09.532292 +00:00
17737,398,2,3141,9.99,2022-01-24 12:31:08.469382 +00:00
17783,411,2,1997,2.99,2022-01-28 03:05:52.012455 +00:00
17819,424,1,3166,6.99,2022-01-27 01:45:01.808857 +00:00
17824,426,1,2204,2.99,2022-01-25 07:28:48.956372 +00:00
17857,434,1,1225,0.99,2022-01-30 10:17:40.134298 +00:00
17869,437,2,3265,2.99,2022-01-28 09:13:39.904168 +00:00
17871,438,2,1779,0.99,2022-01-25 02:32:26.207845 +00:00
17880,439,1,2992,2.99,2022-01-25 19:12:35.124342 +00:00
17911,449,1,2348,0.99,2022-01-23 15:20:02.390905 +00:00
17916,450,2,2278,0.99,2022-01-31 09:18:37.530517 +00:00
17920,451,1,1202,0.99,2022-01-31 00:33:53.515156 +00:00
17922,451,1,1940,6.99,2022-01-31 20:19:41.053708 +00:00
17936,453,2,2887,4.99,2022-01-24 01:35:12.665382 +00:00
17938,454,2,1844,7.99,2022-01-25 09:54:51.364450 +00:00
17950,455,2,2356,0.99,2022-01-31 07:22:13.073352 +00:00
17959,457,2,1727,0.99,2022-01-23 21:26:40.481358 +00:00
17963,457,1,2762,3.99,2022-01-26 15:52:06.066477 +00:00
17974,459,2,3045,0.99,2022-01-26 13:35:07.808117 +00:00
17985,463,1,3309,4.99,2022-01-24 17:42:39.997128 +00:00
18003,468,1,1821,2.99,2022-01-25 19:14:02.390989 +00:00
18005,468,2,2462,4.99,2022-01-29 18:30:23.234361 +00:00
18038,478,2,2358,4.99,2022-01-29 09:04:26.187969 +00:00
18076,489,1,2802,4.99,2022-01-27 18:48:13.833307 +00:00
18102,497,2,2818,4.99,2022-01-24 12:32:43.466888 +00:00
18113,500,1,1375,5.99,2022-01-28 04:06:57.113409 +00:00
18136,506,2,2824,6.99,2022-01-30 22:54:20.047456 +00:00
18159,513,2,2290,7.99,2022-01-24 20:49:35.843508 +00:00
18160,513,2,2737,1.99,2022-01-24 19:44:51.809898 +00:00
18173,516,2,1159,4.99,2022-01-29 23:37:02.900724 +00:00
18198,523,2,1729,6.99,2022-01-28 22:25:38.508245 +00:00
18241,535,1,1712,4.99,2022-01-29 05:58:55.481946 +00:00
18277,546,2,1403,0.99,2022-01-24 03:06:27.214668 +00:00
18317,559,1,2706,0.99,2022-01-28 16:19:35.594334 +00:00
18328,561,1,2950,4.99,2022-01-27 18:57:32.453461 +00:00
18386,576,1,2651,3.99,2022-01-26 10:47:47.387881 +00:00
18401,581,1,2137,4.99,2022-01-23 21:55:59.088886 +00:00
18468,202,1,1474,2.99,2022-01-30 22:45:24.899702 +00:00
18471,202,2,3148,0.99,2022-01-29 21:46:30.676485 +00:00
18506,3,1,2628,2.99,2022-01-26 01:58:25.925938 +00:00
18526,7,1,3007,0.99,2022-01-29 09:59:18.317340 +00:00
18532,10,1,1801,4.99,2022-01-28 02:03:15.345708 +00:00
18541,12,2,2434,5.99,2022-01-23 16:29:32.179976 +00:00
18544,12,2,3135,2.99,2022-01-30 14:39:52.562800 +00:00
18577,22,1,3419,2.99,2022-01-31 08:52:10.794939 +00:00
18579,23,1,2827,0.99,2022-01-30 20:09:06.917455 +00:00
18580,23,1,3015,5.99,2022-01-26 06:07:04.040097 +00:00
18619,29,2,2923,2.99,2022-01-25 21:41:54.235054 +00:00
18622,30,2,1895,2.99,2022-01-30 14:18:57.334688 +00:00
18683,45,2,2722,4.99,2022-01-29 19:28:49.624839 +00:00
18701,49,2,1777,6.99,2022-01-29 12:27:18.035445 +00:00
18734,57,2,2910,7.99,2022-01-31 12:32:20.581604 +00:00
18750,62,1,3327,3.99,2022-01-30 00:22:15.955736 +00:00
18770,68,2,2662,4.99,2022-01-31 17:24:13.637965 +00:00
18771,68,1,2686,2.99,2022-01-30 12:37:08.915745 +00:00
18837,86,1,2518,4.99,2022-01-23 20:13:05.618859 +00:00
18847,88,1,2878,2.99,2022-01-28 22:32:01.846378 +00:00
18857,91,1,2457,3.99,2022-01-31 13:29:22.157965 +00:00
18860,92,2,2084,4.99,2022-01-25 21:52:26.595086 +00:00
18918,108,2,1372,4.99,2022-01-30 01:01:07.306069 +00:00
18920,108,1,2061,8.99,2022-01-24 22:31:23.915378 +00:00
18921,108,1,2210,2.99,2022-01-29 19:35:47.175956 +00:00
18924,109,2,1891,3.99,2022-01-25 07:41:11.189764 +00:00
18929,111,1,1593,6.99,2022-01-29 19:14:49.242691 +00:00
19008,130,1,2982,6.99,2022-01-24 22:43:06.046054 +00:00
19009,131,1,1646,9.99,2022-01-26 09:34:23.882543 +00:00
19045,141,2,2895,7.99,2022-01-25 22:37:06.810390 +00:00
19085,150,2,3187,1.99,2022-01-26 11:17:47.357714 +00:00
19086,150,1,3456,5.99,2022-01-27 14:39:07.386127 +00:00
19116,160,2,2314,4.99,2022-01-23 18:59:33.993546 +00:00
19119,161,1,1856,2.99,2022-01-25 02:06:37.905640 +00:00
