rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
2,2022-05-24 21:54:33.000000 +00:00,1525,459,2022-05-28 18:40:33.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
3,2022-05-24 22:03:39.000000 +00:00,1711,408,2022-06-01 21:12:39.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
4,2022-05-24 22:04:41.000000 +00:00,2452,333,2022-06-03 00:43:41.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
5,2022-05-24 22:05:21.000000 +00:00,2079,222,2022-06-02 03:33:21.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
6,2022-05-24 22:08:07.000000 +00:00,2792,549,2022-05-27 00:32:07.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
7,2022-05-24 22:11:53.000000 +00:00,3995,269,2022-05-29 19:34:53.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
8,2022-05-24 22:31:46.000000 +00:00,2346,239,2022-05-27 22:33:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
9,2022-05-24 23:00:40.000000 +00:00,2580,126,2022-05-27 23:22:40.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
10,2022-05-24 23:02:21.000000 +00:00,1824,399,2022-05-31 21:44:21.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
11,2022-05-24 23:09:02.000000 +00:00,4443,142,2022-06-02 19:56:02.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
12,2022-05-24 23:19:27.000000 +00:00,1584,261,2022-05-30 04:44:27.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
13,2022-05-24 23:22:55.000000 +00:00,2294,334,2022-05-30 03:28:55.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
14,2022-05-24 23:31:15.000000 +00:00,2701,446,2022-05-26 01:56:15.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
15,2022-05-24 23:39:22.000000 +00:00,3049,319,2022-06-03 02:30:22.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
16,2022-05-24 23:43:11.000000 +00:00,389,316,2022-05-26 03:42:11.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
17,2022-05-25 00:06:36.000000 +00:00,830,575,2022-05-26 23:43:36.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
18,2022-05-25 00:10:47.000000 +00:00,3376,19,2022-05-31 05:35:47.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
19,2022-05-25 00:17:24.000000 +00:00,1941,456,2022-05-31 05:00:24.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
20,2022-05-25 00:48:41.000000 +00:00,3517,185,2022-05-27 01:20:41.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
21,2022-05-25 00:59:46.000000 +00:00,146,388,2022-05-26 00:01:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
22,2022-05-25 01:19:23.000000 +00:00,727,509,2022-05-26 03:52:23.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
23,2022-05-25 01:40:21.000000 +00:00,4441,438,2022-05-29 05:34:21.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
